Timestamp,What group are you observing?,In which task are they?,What is the level of engagement of each student in solving the task? (please mark all that apply) [Student A],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student B],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student C],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student D],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student E],"Please write down some short notes about what the group is doing, especially: what activity they are performing, which student is writing in the diary, whether they are collaborating or rather cooperating, and other problems you may perceive in the collaboration dynamic"
06/12/2017 10:34:54,Group 2,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",Looking to others as they try to solve the task,"Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",C is looking somehow lost
06/12/2017 10:35:18,Group 5,Hõimuneem - Tribe creation,"Looking to others as they try to solve the task, Talking with their group peers to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task",,Aleks finishes the explanation. The tablet is in the middle of them. B is in charge of creating the flag (c didn't feel comfortable with it). Then   C retakes the flag and continue the drawing
06/12/2017 10:35:41,Group 3,Hõimuneem - Tribe creation,Talking with their group peers to solve the task,Talking with their group peers to solve the task,Talking with their group peers to solve the task,Talking with their group peers to solve the task,,Нашли что их обьединяет когда обсуждали задание
06/12/2017 10:36:17,Group 4,Sissejuhatus - Introduction,"Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,"Teacher comes, apparently they are using unneeded resources. D reads aloud instructions, others listen. B C go check on the other group, then they all join together on same side of table. D starts painting, others advice"
06/12/2017 10:36:38,Group 1,Hõimuneem - Tribe creation,Talking with their group peers to solve the task,"Totally disengaged, Looking to others as they try to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","B is shy and looking but not taking part in the discussion and activities, they are using Google translator for translating the instructions, they are looking at teacher and another group"
06/12/2017 10:38:51,Group 3,Suitsusignaal - Smoke,Totally disengaged,Totally disengaged,Looking to others as they try to solve the task,Totally disengaged,,D улыбается. B-просто смотрит за всеми. А- в планшете  постоянно. 
06/12/2017 10:40:09,Group 2,Hõimuneem - Tribe creation,Looking to others as they try to solve the task,Talking with their group peers to solve the task,Looking to others as they try to solve the task,"Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",A is playing game on mobile phone. 
06/12/2017 10:40:19,Group 4,Hõimuneem - Tribe creation,"Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,"D painting on paper, Central, others look and provide advice. They all look at table with gdoc. B takes tablet and browses"
06/12/2017 10:40:50,Group 5,Hõimuneem - Tribe creation,"Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,C and B draw and all together discuss what to add. A looses the ILS in his tablet. They ask some questions to Aleks. A explores th things to be done in the ILS.  Aleks explain them when to use the forms. 
06/12/2017 10:41:48,Group 3,Hõimuneem - Tribe creation,Looking to others as they try to solve the task,Totally disengaged,Talking with their group peers to solve the task,Looking to others as they try to solve the task,,А и d в планшетах или говорят друг с другом. С-рисует. В- в телефоне
06/12/2017 10:41:53,Group 1,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Looking to others as they try to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","They have technical problem with tablet, which is solved I guess "
06/12/2017 10:45:15,Group 3,Hõimuneem - Tribe creation,Talking with their group peers to solve the task,Talking with their group peers to solve the task,Talking with their group peers to solve the task,Talking with their group peers to solve the task,,А- предложил рисовать смайликами. С- рисует. В- нет планшета не знает что делать. Все кроме b говорят.
06/12/2017 10:45:16,Group 4,Hõimuneem - Tribe creation,"Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,"D with tablet, talks with BC, A finishes drawing, concentrated, then comes to other side of table to see better. D starts typing on gdoc. BC briefly disengage, but still provide advice on what to write (D writes)"
06/12/2017 10:45:24,Group 2,Hõimuneem - Tribe creation,Totally disengaged,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",C is suggesting something now. A is totally diengeged with playing game on phone. B is interacting with other students from different group
06/12/2017 10:46:32,Group 1,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Totally disengaged, Looking to others as they try to solve the task",Talking with their group peers to solve the task,"Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","D is still drawing but others are discussing the instructions in tablet, and still using Google translator "
06/12/2017 10:49:34,Group 3,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Looking to others as they try to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,А- пытается упровлять другими. D выхрдил из комнаты. Остальные ждут
06/12/2017 10:50:41,Group 4,Hõimuneem - Tribe creation,"Looking to others as they try to solve the task, Talking with their group peers to solve the task","Totally disengaged, Looking to others as they try to solve the task, Talking with their group peers to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,"D still writes, B is more silent, the others talk what to write, especially how to write some things in estonian, cases etc. B starts playing with tablet. They occasionally look at me (observation is weird?)."
06/12/2017 10:51:06,Group 2,Hõimuneem - Tribe creation,Totally disengaged,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Looking to others as they try to solve the task,"Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",They are taking help from Didac teacher for something
06/12/2017 10:51:26,Group 1,Hõimuneem - Tribe creation,Talking with their group peers to solve the task,"Totally disengaged, Looking to others as they try to solve the task",Talking with their group peers to solve the task,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",They are working 
06/12/2017 10:51:28,Group 5,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,"C decorates the flag. A, C and D take out also their phones. C uses the second tablet. All phones are out. Aleks discuss with the kids. A has the tablet that contains the report. C has some problems with the tablet and Aleks takes it with her. A writes in the report"
06/12/2017 10:51:36,Group 3,Suitsusignaal - Smoke,"Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",Looking to others as they try to solve the task,"Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",Looking to others as they try to solve the task,,А с - нашли листок куда вписать команду. Остальные смотрят
06/12/2017 10:53:55,Group 3,Suitsusignaal - Smoke,"Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,С d- пишут нвзвание группы. А В- читают задание
06/12/2017 10:55:03,Group 5,Hõimuneem - Tribe creation,Talking with their group peers to solve the task,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Talking with their group peers to solve the task,"Interacting with technology (e.g., phone, answer forms) to solve the task",,"A, B and D are writing in their devices/tablet. C B and D go out of the room. A is alone reading and writing"
06/12/2017 10:55:50,Group 2,Hõimuneem - Tribe creation,Totally disengaged,Talking with their group peers to solve the task,"Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",B is talking and playing game at same time
06/12/2017 10:56:02,Group 3,Suitsusignaal - Smoke,"Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with external people (observers, teachers, people in the street) to solve the task",,Все кроме b говорили   командой 5
06/12/2017 10:56:09,Group 4,Hõimuneem - Tribe creation,"Totally disengaged, Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Totally disengaged, Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,"D continue writing and asking. The others suggest things. B seems bored at times, A fiddles around with tablet. Then actually idea it to translate some words. AB go joke with the other group. Teacher comes"
06/12/2017 10:56:29,Group 1,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Looking to others as they try to solve the task,Talking with their group peers to solve the task,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","D is writing in the tablet and others are discussing, E is working on Google translator, A is having the group active talking and discussing even when they are not interactive but except B"
06/12/2017 10:58:24,Group 3,Suitsusignaal - Smoke,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",Talking with their group peers to solve the task,Talking with their group peers to solve the task,,B- молчит. А- говорит b участвовать. Cba говорят.
06/12/2017 10:59:33,Group 2,Hõimuneem - Tribe creation,Totally disengaged,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",Talking with their group peers to solve the task,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",A is playing game. B is scanning text in form of pic to translate it to Russian
06/12/2017 11:00:23,Group 4,Hõimuneem - Tribe creation,"Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,"Teacher comes, comments with me that the writing in Estonian is proving very hard. Explains in Russian how to do the Google form using their own phones."
06/12/2017 11:00:31,Group 3,Suitsusignaal - Smoke,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Talking with their group peers to solve the task,,B - не участвует в обсуждении
06/12/2017 11:00:57,Group 5,,"Totally disengaged, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,"A refines the text and uses Google translator. He's alone in the room for a while. B,c and D are at the room door creating the logo. B and c are the main ones doing the artistic tasks while D adds final touches"
06/12/2017 11:01:08,Group 1,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",Looking to others as they try to solve the task,Talking with their group peers to solve the task,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Discussing and A went to write names of group on paper
06/12/2017 11:03:02,Group 3,Suitsusignaal - Smoke,"Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with external people (observers, teachers, people in the street) to solve the task",,Дети жадуются что не знают языка и им не помогают с языком.
06/12/2017 11:03:27,Group 2,Hõimuneem - Tribe creation,"Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",Talking with their group peers to solve the task,Looking to others as they try to solve the task,"Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",D went to gate and write something. B followed him too.
06/12/2017 11:05:02,Group 3,Suitsusignaal - Smoke,Talking with their group peers to solve the task,"Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",Talking with their group peers to solve the task,Totally disengaged,,Дети обсуждают. В- молчит
06/12/2017 11:05:20,Group 5,,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,All are again together. They discuss with the other team. A keeps on working with the tablet writing in the dairy. C also opens it. B reviews the text. A and D read instructions together. They are using 2 tablets and 3 phones
06/12/2017 11:06:15,Group 1,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Looking to others as they try to solve the task,Talking with their group peers to solve the task,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Discussion 
