Timestamp,What group are you observing?,In which task are they?,What is the level of engagement of each student in solving the task? (please mark all that apply) [Student A],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student B],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student C],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student D],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student E],"Please write down some short notes about what the group is doing, especially: what activity they are performing, which student is writing in the diary, whether they are collaborating or rather cooperating, and other problems you may perceive in the collaboration dynamic"
13/12/2017 10:23:45,Group 6,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,,Teacher is giving some instruction. 
13/12/2017 10:25:16,Group 5,Sissejuhatus - Introduction,"Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,A boy
13/12/2017 10:25:37,Group 1,Sissejuhatus - Introduction,"Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task",Talking with their group peers to solve the task,,They're all using technology. 
13/12/2017 10:25:53,Group 4,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",Talking with their group peers to solve the task,"Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,Collaborating 
13/12/2017 10:26:06,Group 3,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",," teacher is assessting in understanding the task, everyone is working individually but discussing "
13/12/2017 10:28:59,Group 2,Sissejuhatus - Introduction,"Looking to others as they try to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,WiFi stopped working for me. Still mostly working in pairs. Then teacher passes to next activity
13/12/2017 10:29:04,Group 6,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,,C is drawing flag while A and B are using tabs
13/12/2017 10:29:46,Group 4,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,They are listening to the instructor 
13/12/2017 10:30:05,Group 3,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,"they started with second task, and discussing with each other"
13/12/2017 10:30:55,Group 1,Hõimuneem - Tribe creation,"Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task",,Ask teacher for help. They interact well as a group. Not just girls with girls and boys with boys. 
13/12/2017 10:33:53,Group 4,Hõimuneem - Tribe creation,Talking with their group peers to solve the task,Talking with their group peers to solve the task,Talking with their group peers to solve the task,Talking with their group peers to solve the task,,Students are enjoying the task. They are laughing. 
13/12/2017 10:34:08,Group 2,Hõimuneem - Tribe creation,"Looking to others as they try to solve the task, Talking with their group peers to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,"CD paint in the flag, AB talk with them occasionally"
13/12/2017 10:34:36,Group 6,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,Teacher is giving some hint about how to draw flag
13/12/2017 10:35:15,Group 3,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,C and B have opened the box and started working on it
13/12/2017 10:36:14,Group 5,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,"Writing, painting, interacting with teacher, solve the task"
13/12/2017 10:36:43,Group 1,Hõimuneem - Tribe creation,"Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",Talking with their group peers to solve the task,Talking with their group peers to solve the task,"Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,They are all doing something. Using the iPad to see what they have to do. 
13/12/2017 10:37:38,Group 6,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,,C has cloned one pic from phone by putting paper on the screen
13/12/2017 10:38:14,Group 4,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",Talking with their group peers to solve the task,Talking with their group peers to solve the task,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,Students are laughing and making fun to solve the problem
13/12/2017 10:38:36,Group 2,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,"BA all something to the teacher, then they take the flag out. Then they go back to graasp to fill in the feedback. BC go ask some questions to teacher"
13/12/2017 10:40:30,Group 3,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",Talking with their group peers to solve the task,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",Talking with their group peers to solve the task,,"they are trying interesting trick for drawing, A is putting paper on tablet to simply copying the image"
13/12/2017 10:40:32,Group 1,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Talking with their group peers to solve the task,Talking with their group peers to solve the task,"Interacting with technology (e.g., phone, answer forms) to solve the task",,C is drawing. D is answering in the iPad. A is answering in the iPad. B is talking and helping
13/12/2017 10:40:35,Group 5,Hõimuneem - Tribe creation,Talking with their group peers to solve the task,"Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task",Talking with their group peers to solve the task,,"Solve the task, paint"
13/12/2017 10:41:34,Group 6,Hõimuneem - Tribe creation,"Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,,I told them to glue the stick with flag
13/12/2017 10:43:23,Group 4,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Talking with their group peers to solve the task,Talking with their group peers to solve the task,,Students are enjoying the task. They are making fun.
13/12/2017 10:43:55,Group 2,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task",,"Filling in the forms, mostly on their phones. BC all to the teacher, C scans graasp qr. Also using phones to translate. Maybe English is not so clear for them?"
13/12/2017 10:45:01,Group 3,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",Talking with their group peers to solve the task,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,"A is drawing and C is working on tablet, D went outside to write name s"
13/12/2017 10:45:45,Group 2,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task",,"Still filling the forms with the help of teacher. Then, start the next task"
13/12/2017 10:48:05,Group 5,Hõimuneem - Tribe creation,,,,,,Tagasiside
13/12/2017 10:48:20,Group 4,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Talking with their group peers to solve the task,Talking with their group peers to solve the task,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,Students are laughing to solve the problem
13/12/2017 10:50:12,Group 6,Suitsusignaal - Smoke,Talking with their group peers to solve the task,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,,C is scanning the Graasp screen and translating it.
13/12/2017 10:50:19,Group 1,Koordinaatide org - Coordinates,Talking with their group peers to solve the task,Talking with their group peers to solve the task,Talking with their group peers to solve the task,"Interacting with technology (e.g., phone, answer forms) to solve the task",,"D is trying to figure out the task. A, B, C are taking and helping. Trying to understand what they have to do. C is searching for help in the internet. "
13/12/2017 10:50:24,Group 5,Hõimuneem - Tribe creation,"Interacting with technology (e.g., phone, answer forms) to solve the task",Looking to others as they try to solve the task,Looking to others as they try to solve the task,"Interacting with technology (e.g., phone, answer forms) to solve the task",,"Tagasiside A, D"
13/12/2017 10:52:47,Group 2,Koordinaatide org - Coordinates,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Looking to others as they try to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Totally disengaged, Interacting with technology (e.g., phone, answer forms) to solve the task","Totally disengaged, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,"They start reading graasp, the coordination until they go called to the smoke one. They all scan the graasp QR. D is wearing headphones (listening to music?). They are quite silent. D is messaging. CD seem to be waiting while AB still read and mention cacao. A girl from our group comes, distracted them"
13/12/2017 10:55:17,Group 4,Hõimuneem - Tribe creation,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",Talking with their group peers to solve the task,"Interacting with technology (e.g., phone, answer forms) to solve the task",,They are enjoying
13/12/2017 10:55:38,Group 2,Koordinaatide org - Coordinates,"Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Totally disengaged, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,"AB still try to read and understand, CD now come back and tried to help."
13/12/2017 10:55:52,Group 6,Suitsusignaal - Smoke,"Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,Teacher is giving instruction and context about fire
13/12/2017 10:55:53,Group 1,Koordinaatide org - Coordinates,"Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,They are all trying to understand how the Morse code works. C is looking how the other group is doing. They are all working more or less together. A is talking to others. 
13/12/2017 10:56:27,Group 5,Suitsusignaal - Smoke,"Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with external people (observers, teachers, people in the street) to solve the task",,Interacting with teacher
13/12/2017 11:00:28,Group 2,Koordinaatide org - Coordinates,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Totally disengaged, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,"They get some elephant sound and laugh. They now collaborate a bit more, then stay silent looking at the screens. D may be messaging occasionally."
13/12/2017 11:00:48,Group 6,Suitsusignaal - Smoke,"Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task","Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,,Two groups are together and performing activity. A is most active here
13/12/2017 11:01:06,Group 1,Koordinaatide org - Coordinates,"Interacting with technology (e.g., phone, answer forms) to solve the task",,,"Interacting with technology (e.g., phone, answer forms) to solve the task",,When they heard the elefant sound from the other group - they got immediately more motivated. D is looking the pictures and is trying to figure out what is on the picture with help from others. B is helping D. C is doing something in her phone. 
13/12/2017 11:01:57,Group 5,Suitsusignaal - Smoke,"Interacting with external people (observers, teachers, people in the street) to solve the task",,"Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,Watch listen
13/12/2017 11:02:30,Group 4,Koordinaatide org - Coordinates,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Talking with their group peers to solve the task,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,Students are engaging in the task
13/12/2017 11:03:03,Group 6,Suitsusignaal - Smoke,"Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,Surprised by the fire
13/12/2017 11:05:05,Group 3,Koordinaatide org - Coordinates,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,"the smoke task is skiped for the moment and started with coordinate task, C is writing on tablet"
13/12/2017 11:05:44,Group 1,Koordinaatide org - Coordinates,"Interacting with technology (e.g., phone, answer forms) to solve the task",Talking with their group peers to solve the task,Talking with their group peers to solve the task,Talking with their group peers to solve the task,,D iPad and qr code. C is looking answers / words from the internet. B is helping D. A is looking from internet. 
13/12/2017 11:05:51,Group 2,Koordinaatide org - Coordinates,"Totally disengaged, Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Totally disengaged, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,"D is listening to music and messaging, but occasionally comes back to task. A also seems to get tired, then starts fiddling with the flag"
13/12/2017 11:06:11,Group 5,Suitsusignaal - Smoke,"Interacting with external people (observers, teachers, people in the street) to solve the task",,"Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,Smoke 
13/12/2017 11:07:37,Group 4,Koordinaatide org - Coordinates,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",Talking with their group peers to solve the task,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,They are helping each other. Two students are jointly solving the task.
13/12/2017 11:09:13,Group 5,,"Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,"Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,Smoke 5 group
13/12/2017 11:10:05,Group 6,Suitsusignaal - Smoke,Looking to others as they try to solve the task,Looking to others as they try to solve the task,"Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,They have mixed incorrect proportion of compound. Enjoying a lot with the activity
13/12/2017 11:10:32,Group 3,Koordinaatide org - Coordinates,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,"reading through instructions, discussing and C is writing "
13/12/2017 11:10:34,Group 2,Koordinaatide org - Coordinates,Totally disengaged,"Totally disengaged, Interacting with external people (observers, teachers, people in the street) to solve the task",Totally disengaged,Totally disengaged,,"B goes to ask the teacher. D listening to music. They all seem disengaged, maybe waiting for the next activity?"
